,Earhart,Ford,Hillenbrand,Wiley,Windsor
2023-10-11,"['f035f68a-902b-4ab7-b2e8-28c8e18a0af3', '87e74f8d-b4a5-4ad2-9ed5-b1d2429a431e', '563a5996-ae70-476d-947a-83655dff8faf']","['7bc26af2-a32b-4bd5-b4d7-c50dd2ed1bf7', 'd7ac3ffb-089e-424e-81bf-6cd886b5fe1d', '7705b2df-9d8c-4286-8b7e-d9ccf0900976', '920605fe-ee77-4c8f-a67c-ed4620b51769']","['e7862872-d59f-473f-a62a-d6c49e6b48a7', '548269f2-db80-4112-87f3-d7c5f4765baf', '076f0549-739a-41af-b3f1-93761610d2ce', '39914a6a-9845-4666-b6ea-58a8da18cfe8']","['dcb4496c-6071-47fe-9901-85822a9c3c46', 'ed05c88e-93a0-4101-b0e6-d08720537bc5', '19c69178-0df8-4482-94dd-ef0783480374']","['3d64a674-1047-4232-9064-08efd6ccbd17', 'd2e7e882-21e0-4e58-b9e5-2e6cdafed3a4', '3be7a93b-45d2-492b-8a79-2e9d10402667']"
2023-10-12,"['455ea776-5671-40c2-bb9b-682f1ed31d99', 'fee64e2a-f81d-47df-b420-79db22b6397f', 'e3e8895b-d8bb-44cd-8efc-6420eb6a0ffd']","['44fb2e21-7428-4324-9ffd-5982f24ff86c', '0bec2f20-cd94-451b-814a-7b2ff4b037c9', 'a1d6b27f-c77c-426e-9b33-5fb24adb2fa0', 'ea0bad08-f462-4113-9ae0-8525f44b8f6f']","['3c22c7f2-b56b-47be-83af-1d13fd596c9f', '37f2b087-27ad-4e2d-bb63-a4436e1a613a', '46d7b166-9642-4077-ba0b-aee11490ab24', '75107a24-a5da-44bf-bf94-1e6fa030264d']","['17d9b51a-e014-4709-bd0f-6d3a065eb1a1', 'ba4cf1b8-2bb6-46c1-ba97-3d8fd024bb7b', 'aa176f96-8722-4063-adc3-71c583de59ec']","['53adfa86-1d21-4a7a-b55e-d09a86837707', 'bc4733fb-52c8-4706-a9c9-a5df2839df82', 'feae3df0-4916-4a16-9e86-7fa6352dffe1']"
2023-10-13,"['90496048-9618-4646-9586-0ac873cad890', 'ec392d0c-d10d-4bef-8d5a-625254a54779', '97991d08-5e65-45de-9477-dd8865c9d114']","['73d02188-641a-4758-8a45-eda2346a8fdd', '9a42c440-490c-495f-9cd9-cd41781de18c', '988c3f79-4492-4dba-8c29-bfc2372fde7a', '292395d0-b445-45a2-8b86-724d10ecdaf0']","['b4b0cf52-cc6f-4a69-b9f1-c7ec0a3eea84', '351bb972-0128-4e46-95c4-654aea4d13fb', '6da95411-7e51-469e-be82-cebcf9f2f3a4', '0ba53507-f9a2-4cdf-9a50-305f2c5e1fb8']","['1997bc37-cc6c-40a3-a4cb-101f9614b4a8', 'fda133c7-a072-4dcb-91a9-3a736790ca9b', 'b39d46a3-6326-4b2d-ad8d-ea63e4633e34']","['2af8e10f-9f3d-4673-92a2-23c9d33c318d', '548b45a9-951e-4152-8047-ade742ea6b56', '0f89238e-31a6-4ac8-88bf-a7e9278d9ffc']"
2023-10-14,"['f364151f-3381-4c08-8e58-7d4007aa34b6', '0ac3f225-53d9-4b8b-bf7d-1aa0ab0f7204', '05dfab61-ccf1-41fa-ace0-f6138bbddf31']","['44635376-e55f-4e47-955f-eecd5d1218ef', '1ed3ea4a-6a7d-406d-b3fb-da1f272ca406', '45976c87-0a57-47b9-9d26-c5a842f121ee', '04fe5c4c-1438-4aa4-905d-dfbd4b054bfd']","['831538dd-793d-4595-b7ca-18dfeadd32f6', '8f071fda-fb86-4edd-a7dc-9354364e2171', 'eabed157-5a44-4c16-9b7c-566bddbbba7f', 'e91797be-d04e-472d-be5e-aaf681cc3a74']","['dc4c3b18-c8cc-405e-81cd-a234ab93e73d', 'e951e045-8694-41a4-9692-6c0c6a8deaa5', '53c5e17e-7488-4ea6-83b5-555f3a953ced']","['537e77bd-86c7-4341-9299-2fc4e31365d5', '7ab27f10-bad2-4e2a-a3a7-12e680fefc19', '23061ee4-d8a9-445e-85a0-08a330723a15']"
2023-10-15,"['f022fc18-94b4-47d2-a217-3e7b6e837e55', 'f54be0c7-b87e-48cb-bd15-ee8cc4b6bc0d', '95d5232f-6242-4185-96db-0bd4d6939413']","['beea68c6-f413-4c74-bfe1-e3c34d446700', '90f7ab5a-d132-4162-8b0e-b8acc37f5d6d', '8d5dbb14-e8ec-4c27-81e5-1773bf01cd55', '51295501-22cd-4ea0-953b-ed1b15c123fa']","['fbb7f8a0-cf0f-4658-8422-a0293865531c', '1634b796-dd09-4ca6-813a-0e0bc0678bfe', '3407865c-813a-4973-85c3-1b015220528b', '36f239e2-7a6a-4640-a4ba-b9f6e110b8bc']","['1d94899d-d307-4ae3-8a79-52eb311a4c0c', '6e8ea09f-4cba-46d2-b416-49af611192b0', 'e945bfed-0a83-4b3c-9a0d-8404da1b3872']","['dd0be849-a119-4f78-aa55-354448b74063', '4bda5308-4867-4b82-8105-27620d1b4884', '6e338735-37fc-473c-905b-d746f0559a4f']"
2023-10-16,"['e8d164ea-a8c8-4b02-9ee4-09671685ff5d', 'b28de8b7-25d3-4168-b3dd-dd55912fd57e', '5c4b4fcf-4b06-4ca9-b796-0c56737b2cd4']","['b25937ee-d82a-4681-8c41-02fe6fd085c0', '7eca0e3f-0ca9-41e8-9bfb-87a43a6ea540', '31d6facb-ca17-4949-9977-7014db10da4a', '2d5231c4-5ea4-4a0e-949d-93e55d843d2d']","['7e257701-cf1f-4018-9c28-cfdd89f377d0', '61f3de56-b7dd-40e2-8331-13b69b438881', '7812a7e9-0e19-4a79-8bcd-505ef7acefa9', 'cb1f716b-f8af-4581-beed-59c4639da243']","['ef3d99ce-0374-41da-a64f-86091ebab99a', '58de0bce-ee3e-4beb-9d77-2d529bf7c1e3', '16eefb0f-9a7d-4b7d-936f-f481736a7990']","['a6ab4b72-31d7-46e3-87b3-ea86eba93fee', 'b08863e9-63ad-407f-8abe-d69abccc427d', 'a38d908b-33ba-48fb-b3ae-dc6fc2614165']"
2023-10-17,"['91a7985d-ac27-497a-ba50-a62f8d9d95eb', 'eab850b1-9f45-40f2-bee7-bcbe1773db18', 'af9d0c6c-931d-4af8-a6b6-7df284f666e4']","['1620f2b1-3389-4e75-bf24-c2d141c7bdd5', '0e9ddf8c-f89f-45d8-9c12-5b3852522db5', 'f9a21e28-a885-4f59-a060-47e13953c7a0', '7ce93c12-1dbc-46fa-9934-07bbc6e11a22']","['01ac39d2-0755-4e29-923d-6152b99fa054', '6852ed48-3826-4246-997d-62e0f0d2ef24', '4f8ced32-6780-45a2-a560-bd7cecac3600', '5198d79f-940b-45ac-ba13-803f61447fdd']","['c261b5dc-8a05-46f9-89c5-5d5a34d47ece', '6c5c8530-687e-4996-b2da-47b0401736dc', 'f69ccfea-2062-47f0-8424-b6b58bb5dcdd']","['95064b42-ec82-4c5b-a319-c6e11d6bf0e3', '88c94e74-a15e-47b5-9327-b054657bbdcd', '1c32347d-5f81-4c1f-a4dc-10448ac3986a']"
2023-10-18,"['31609846-bc30-4d9b-a8f2-a72fb9e23809', '36e28c8d-8002-41c5-8b4b-f1b3b01917f6', '09fe23be-ac78-4258-b8a6-b9a568ab6694']","['5ee6e037-d225-4bab-b5ab-db294c45cedc', '00482b8c-cedb-44c9-8979-34760a458eab', 'a124cb09-ec34-43dd-a1d7-1d8714afcda4', '89ef960c-e18e-400f-ac0b-8e69d946ac3b']","['c0d8ffff-a714-4727-9daa-a11db277b81a', '6e3905eb-31bc-46db-982e-f7951c76b4e8', '69acf341-67b9-4c02-9a36-0dad575ae724', 'a30223e7-57bf-4968-b2d6-1e6f50b91c90']","['aa39ff0e-1c40-437b-953f-5f07c5bfd423', '5eea9b19-26c8-4b01-a7c6-4dbafce361de', '6d4b4442-7a28-43b9-942f-dc0534411d6f']","['d85012b7-0182-432f-8623-af8947f4db85', 'b317ef94-88d1-4b7f-ae4f-574aa33c32f2', '5baa1ac3-18bf-49a8-ac50-404c838c6e6a']"
2023-10-19,"['9337ae40-f3bf-4b85-b645-b082d6a0436e', '96d85c3f-52a0-4509-88d4-dca66d3bbd03', '2d58b9ee-1be0-4f41-8e79-c4fb4a3230de']","['a265ade5-4382-49c6-92a0-c9e5de8d2104', '1dab03f1-1f97-4841-8a0b-71c4f07e7d89', '07b47d14-3492-48dd-9660-592fd3973347', '6e551af8-04ab-4664-8ec5-6aabf3ebcfbd']","['d9e135de-3c8c-42ba-ad6e-c5a07b36212f', '4130cfbb-c480-4956-a78b-2016054e69bf', 'f8886db9-cd6a-4779-abfa-e732657990ee', '0bc43a31-914a-4b62-8158-34a205058875']","['5262cb47-8cad-4fc2-b567-bf4e4e92139c', '202b560a-141a-4360-84ec-c65644981afd', 'c665adb3-dc3a-48ba-a5c3-0423ef2cd04c']","['9d273515-c5af-4096-ba30-8bed28dfb19b', '1db89027-62a4-4ffe-ad5e-e2c96b802886', '0fb2f834-6cb6-4562-a050-3ebe4dcc33d3']"
2023-10-20,"['3bd0a89f-973c-44ea-b556-263d31326c8b', '8c4acaa3-a197-4103-8772-598de110f2ac', '5d7a013f-92b9-44ab-a913-c3104a3b8e14']","['fe178102-7cc4-4ee0-b342-f89703dbf52d', 'b1611a84-6f48-4f58-bf6d-b3b980ef2d23', '021c9d35-53d8-4948-9498-b12597cf51d7', '245b4e51-764c-4b17-8761-094d7e57dc92']","['bb1ddef5-7daa-4054-9d38-ebdde39f77d6', 'e9550707-e62c-4420-ad69-9fa194a27e64', '113a799b-c5cd-4963-9ca3-9253245a04d3', '22d32ef0-5364-4637-bfa1-09286a992352']","['94b44fd7-cc5b-45f8-b46b-76e5b9775c21', '8a1e9062-f951-4931-8c13-bca2922d3313', '0a44bf93-de90-4a26-8cfc-90c50076c8e4']","['3df15a6d-4b46-40e5-b4d7-b593ec318702', 'e5aff04c-ce8a-4b16-aa54-d7c3ac006f33', '95fb5c83-2bc2-47f7-92e1-ebeff42a6de3']"
2023-10-21,"['2e099480-7284-48cd-8b56-66e7e2b4624a', '48656f4b-c42a-4000-bff0-9b1e7ba72edc', '3d75b5c8-1ad6-4039-aba7-10c99c604312']","['d5821abf-b936-4abf-ad91-f176381dadcc', '27964ef7-25f4-44c1-b631-8b4032a0569a', 'e81f0d0c-f675-47c7-bc38-830622764f9a', '222ad1c5-9465-4179-8a82-9b962af246e8']","['4ccc8eab-6315-434b-a266-135c342e74e4', '4bf8a0eb-059e-4250-9817-0280d67c93e6', 'b7f14965-af59-4704-be62-0da17a1941a1', 'bc47b28c-66f4-4664-beef-6fe1594306b4']","['5c4fcef9-a5f7-4a13-9597-042ec0811784', '0602902c-bc9e-496b-a1f1-8acb4fce4c46', 'ab92fa7f-972c-4bf6-8a94-242349e2041e']","['37de8eb8-4c32-4fe1-bc28-03a6a22ba146', '95f6c15c-598b-473c-b5f2-00cf0ba35b76', '426d33ca-62c8-43c8-a518-a7aa401e2f74']"
2023-10-22,"['a241927a-b5f8-4a62-8079-ea206bb08459', '9391183f-ff97-44c9-9e5b-c7825a9d13fc', '85d089f1-6770-45eb-8f9f-299b4d8f181e']","['920cf397-6d0e-4ab1-82ba-932cbeb1ea35', '5eeda1f3-e335-4949-9b5b-20548bcc39e5', '6eeace93-5a68-4b9b-b484-3a42ea29bfba', 'ce6fc547-478e-4ea3-947c-312969bdc2e7']","['80181830-6428-4da9-bdf0-9dd493e6f6bd', '95af79ac-7c7c-44e4-afc0-dbe4b6e5ca83', '3407ed95-0538-4818-a6f2-78ce47e0ed45', '086e7945-26a3-4f41-aa3f-b304ccc10c6b']","['f5004880-d479-4239-b844-a5ea61a53b04', 'a958da7f-468a-4c74-880d-58db55e35e10', '2023a28f-8447-48a4-8eca-50e5e8ebfc90']","['a2223613-381d-42b5-9d48-c4ee3324e739', 'c80e1cd0-658b-44cf-9e10-29814b7a482b', '4a395ffd-4638-40c0-8580-e0cc36d05ab8']"
